Category,StarRating,Sentiment,OrderAccuracy,CustomizationError,FoodQuality,Comment
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even cut the sandwich."
Staff service,4,Positive,Correct,None,N/A,"The cashier was patient and efficient."
Timeliness,3,Neutral,Correct,None,Average,"Took a few minutes. Not bad."
Cleanliness,4,Positive,Correct,None,N/A,"The tables were clean and the floors were swept."
Environment,5,Positive,Correct,None,N/A,"This is a gorgeous store. Modern and clean."
Food quality,2,Negative,Correct,None,Soggy,"The fries were soggy and cold."
Staff service,3,Neutral,Correct,None,N/A,"Employee was okay. Got the job done."
Timeliness,5,Positive,Correct,None,Hot,"Quick and easy. Food was ready."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was sparkling clean."
Environment,2,Negative,Correct,None,N/A,"The music was too loud and annoying."
Food quality,4,Positive,Correct,None,Fresh,"The sausage burrito was hot and cheesy."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me an extra hash brown. Happy accident."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. No mistakes."
Staff service,5,Positive,Correct,None,N/A,"The manager was fantastic. Very professional."
Timeliness,4,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,3,Neutral,Correct,None,N/A,"It was clean enough. Some spots missed."
Environment,4,Positive,Correct,None,N/A,"They have a nice little seating area with outlets."
Food quality,5,Positive,Correct,None,Fresh,"The Quarter Pounder was juicy and hot."
Staff service,2,Negative,Correct,None,N/A,"Worker was rude and short with me."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was okay but they gave me the wrong sauce."
Cleanliness,4,Positive,Correct,None,N/A,"The dining room was clean and organized."
Environment,5,Positive,Correct,None,N/A,"They have a great atmosphere. Very inviting."
Food quality,3,Neutral,Correct,None,Adequate,"The chicken sandwich was okay. Nothing special."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain cheeseburger. Got one with everything."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every item was correct."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and quick."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot."
Cleanliness,5,Positive,Correct,None,N/A,"The whole place was spotless. Very impressive."
Environment,3,Neutral,Correct,None,N/A,"It's a standard McDonald's. Nothing special."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast sandwich was hot and tasty."
Staff service,5,Positive,Correct,None,N/A,"The staff here is the best. Always friendly."
Timeliness,5,Positive,Correct,None,Hot,"Incredible speed. Food was fresh."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and the floors were swept."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor patio."
Food quality,5,Positive,Correct,None,Fresh,"The apple pie was perfect. Hot and flaky."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered extra cheese. Got no cheese."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra sauce."
Staff service,3,Neutral,Correct,None,N/A,"Employee was fine. Not very talkative."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Good team."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest fast food restaurant around."
Environment,1,Negative,Correct,None,N/A,"The place was a mess. Dirty tables everywhere."
Food quality,4,Positive,Correct,None,Fresh,"The McDouble was hot and cheesy."
Staff service,5,Positive,Correct,None,N/A,"The manager went above and beyond."
Timeliness,1,Negative,Incorrect,Wrong sauce,N/A,"Long wait and wrong sauce. Terrible."
Cleanliness,4,Positive,Correct,None,N/A,"The restroom was clean and stocked."
Environment,5,Positive,Correct,None,N/A,"They have a beautiful mural. Very nice."
Food quality,2,Negative,Correct,None,Dry,"The chicken was dry and stringy."
Customization error,3,Neutral,Incorrect,None,N/A,"They gave me a different sauce. It was fine."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even included extra sauce."
Staff service,4,Positive,Correct,None,N/A,"The cashier was patient and helpful."
Timeliness,3,Neutral,Correct,None,Average,"Standard wait time. No issues."
Cleanliness,2,Negative,Correct,None,N/A,"The trash cans were overflowing."
Environment,4,Positive,Correct,None,N/A,"They have a nice little fireplace. Cozy vibe."
Food quality,5,Positive,Correct,None,Fresh,"The hot fudge sundae was amazing."
Staff service,2,Negative,Correct,None,N/A,"Worker was short with me. Rude."
Timeliness,5,Positive,Correct,None,Hot,"Amazing speed. Food was fresh and hot."
Cleanliness,4,Positive,Correct,None,N/A,"The dining area was clean and tidy."
Environment,5,Positive,Correct,None,N/A,"This is a beautiful store. Well designed."
Food quality,3,Neutral,Correct,None,Adequate,"The fries were okay. A bit salty."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me a large fry instead of medium. Nice!"
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra pickles."
Staff service,5,Positive,Correct,None,N/A,"The staff was amazing. Very attentive."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot and fresh."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was immaculate. Very clean."
Environment,3,Neutral,Correct,None,N/A,"It's an older store but it's clean."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast burrito was hot and delicious."
Staff service,3,Neutral,Correct,None,N/A,"Employee was okay. Did the job."
Timeliness,4,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,1,Negative,Correct,None,N/A,"The bathroom was disgusting. No soap."
Environment,4,Positive,Correct,None,N/A,"They have a nice little seating area with outlets."
Food quality,5,Positive,Correct,None,Fresh,"The McFlurry was perfectly mixed. Delicious."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered no tomatoes. Got tomatoes."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every item was correct."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and helpful."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was okay but they gave me the wrong sauce."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and inviting."
Environment,5,Positive,Correct,None,N/A,"They have a great atmosphere. Modern and clean."
Food quality,4,Positive,Correct,None,Fresh,"The sausage burrito was hot and tasty."
Staff service,5,Positive,Correct,None,N/A,"The manager was amazing. Very helpful."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Great service."
Cleanliness,5,Positive,Correct,None,N/A,"The floor was so clean you could eat off it."
Environment,2,Negative,Correct,None,N/A,"The AC was too cold. Uncomfortable."
Food quality,2,Negative,Correct,None,Soggy,"The fries were soggy and undercooked."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered extra pickles. Got no pickles."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. No issues."
Staff service,2,Negative,Correct,None,N/A,"Worker was dismissive and rude."
Timeliness,5,Positive,Correct,None,Hot,"Blazing fast. Food was fresh."
Cleanliness,3,Neutral,Correct,None,N/A,"It was clean enough. Some spots missed."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor patio."
Food quality,5,Positive,Correct,None,Fresh,"The Quarter Pounder was perfect. Juicy and hot."
Staff service,4,Positive,Correct,None,N/A,"The cashier was polite and helpful."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot."
Cleanliness,4,Positive,Correct,None,N/A,"The tables were clean and the floors were swept."
Environment,5,Positive,Correct,None,N/A,"They have a beautiful mural. Very nice touch."
Food quality,3,Neutral,Correct,None,Adequate,"The burger was okay. A bit messy."
Customization error,3,Neutral,Incorrect,None,N/A,"They forgot the extra cheese. Not worth the wait."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even cut the sandwich."
Staff service,5,Positive,Correct,None,N/A,"The staff was fantastic. Very welcoming."
Timeliness,3,Neutral,Correct,None,Average,"Took a few minutes. Not bad."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest McDonald's in town."
Environment,1,Negative,Correct,None,N/A,"The place was loud and chaotic."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast sandwich was hot and fresh."
Staff service,3,Neutral,Correct,None,N/A,"Employee was fine. Not very friendly."
Timeliness,5,Positive,Correct,None,Hot,"Quick and easy. Food was ready."
Cleanliness,4,Positive,Correct,None,N/A,"The restroom was clean and smelled fresh."
Environment,4,Positive,Correct,None,N/A,"They have a nice little fireplace. Cozy."
Food quality,5,Positive,Correct,None,Fresh,"The apple pie was hot and flaky. Delicious."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me an extra cookie. Nice surprise!"
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the special request."
Staff service,5,Positive,Correct,None,N/A,"The manager was exceptional. Great service."
Timeliness,1,Negative,Incorrect,Wrong drink,N/A,"Long wait and wrong drink. Awful."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was spotless. Very clean."
Environment,5,Positive,Correct,None,N/A,"They have a great play area for kids."
Food quality,4,Positive,Correct,None,Fresh,"The McDouble was hot and cheesy. Perfect."
Staff service,2,Negative,Correct,None,N/A,"Worker was on their phone ignoring customers."
Timeliness,4,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,1,Negative,Correct,None,N/A,"There was a hair in my burger. Gross."
Environment,3,Neutral,Correct,None,N/A,"It's a typical McDonald's. Nothing fancy."
Food quality,3,Neutral,Correct,None,Adequate,"The chicken nuggets were okay. A bit dry."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain burger. Got one with ketchup."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every detail was correct."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and fast."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was fine but they gave me the wrong size drink."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and the floors were swept."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor seating area."
Food quality,5,Positive,Correct,None,Fresh,"The hotcakes were fluffy and the syrup was warm."
Staff service,5,Positive,Correct,None,N/A,"The staff was amazing. Very attentive."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot and fresh."
Cleanliness,5,Positive,Correct,None,N/A,"The whole place was sparkling clean."
Environment,5,Positive,Correct,None,N/A,"This is a gorgeous store. Modern and clean."
Food quality,2,Negative,Correct,None,Soggy,"The fries were soggy and cold."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered no mustard. Got mustard."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra sauce."
Staff service,3,Neutral,Correct,None,N/A,"Employee was okay. Got the job done."
Timeliness,5,Positive,Correct,None,Hot,"Amazing speed. Food was fresh and hot."
Cleanliness,4,Positive,Correct,None,N/A,"The dining area was clean and tidy."
Environment,2,Negative,Correct,None,N/A,"The music was too loud and annoying."
Food quality,4,Positive,Correct,None,Fresh,"The sausage burrito was hot and cheesy."
Staff service,4,Positive,Correct,None,N/A,"The cashier was patient and efficient."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Good job."
Cleanliness,3,Neutral,Correct,None,N/A,"It was clean enough. Some areas needed work."
Environment,4,Positive,Correct,None,N/A,"They have a nice little seating area with outlets."
Food quality,5,Positive,Correct,None,Fresh,"The McFlurry was mixed well. Delicious."
Customization error,3,Neutral,Incorrect,None,N/A,"They forgot the lettuce. Not a big deal."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even included extra sauce."
Staff service,5,Positive,Correct,None,N/A,"The manager was fantastic. Very professional."
Timeliness,3,Neutral,Correct,None,Average,"Standard wait time. No issues."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest fast food restaurant around."
Environment,1,Negative,Correct,None,N/A,"The place was a mess. Dirty and chaotic."
Food quality,3,Neutral,Correct,None,Adequate,"The burger was fine. A bit dry."
Staff service,2,Negative,Correct,None,N/A,"Worker was rude and short with me."
Timeliness,5,Positive,Correct,None,Hot,"Incredible speed. Food was fresh."
Cleanliness,4,Positive,Correct,None,N/A,"The restroom was clean and stocked."
Environment,5,Positive,Correct,None,N/A,"They have a great atmosphere. Very inviting."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast sandwich was hot and fresh."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me a large drink by mistake. Free upgrade!"
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra pickles."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and quick."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot."
Cleanliness,2,Negative,Correct,None,N/A,"The trash cans were overflowing."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor patio."
Food quality,5,Positive,Correct,None,Fresh,"The Quarter Pounder was juicy and hot."
Staff service,5,Positive,Correct,None,N/A,"The staff here is the best. Always friendly."
Timeliness,1,Negative,Incorrect,Wrong sauce,N/A,"Long wait and wrong sauce. Terrible."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was immaculate. Very clean."
Environment,3,Neutral,Correct,None,N/A,"It's an older store but it's clean."
Food quality,2,Negative,Correct,None,Stale,"The cookie was hard and stale."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain cheeseburger. Got one with everything."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every item was correct."
Staff service,3,Neutral,Correct,None,N/A,"Employee was fine. Not very talkative."
Timeliness,4,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and inviting."
Environment,5,Positive,Correct,None,N/A,"They have a beautiful mural. Very nice."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast burrito was hot and delicious."
Staff service,5,Positive,Correct,None,N/A,"The manager went above and beyond."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was okay but they gave me the wrong sauce."
Cleanliness,5,Positive,Correct,None,N/A,"The floor was so clean it shined."
Environment,4,Positive,Correct,None,N/A,"They have a nice little fireplace. Cozy vibe."
Food quality,5,Positive,Correct,None,Fresh,"The hot fudge sundae was amazing."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered extra cheese. Got no cheese."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. No mistakes."
Staff service,4,Positive,Correct,None,N/A,"The cashier was polite and helpful."
Timeliness,5,Positive,Correct,None,Hot,"Amazing speed. Food was fresh and hot."
Cleanliness,4,Positive,Correct,None,N/A,"The tables were clean and the floors were swept."
Environment,5,Positive,Correct,None,N/A,"This is a beautiful store. Well maintained."
Food quality,3,Neutral,Correct,None,Adequate,"The chicken sandwich was okay. Nothing special."
Staff service,2,Negative,Correct,None,N/A,"Worker was short with me. Rude."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Good team."
Cleanliness,1,Negative,Correct,None,N/A,"The bathroom was disgusting. No soap."
Environment,4,Positive,Correct,None,N/A,"They have a nice little seating area with outlets."
Food quality,4,Positive,Correct,None,Fresh,"The McDouble was hot and cheesy."
Customization error,3,Neutral,Incorrect,None,N/A,"They gave me a different sauce. It was fine."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even cut the sandwich."
Staff service,5,Positive,Correct,None,N/A,"The staff was amazing. Very attentive."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot and fresh."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest McDonald's I've ever been to."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor seating area."
Food quality,5,Positive,Correct,None,Fresh,"The apple pie was perfect. Hot and flaky."
Staff service,3,Neutral,Correct,None,N/A,"Employee was okay. Did the job."
Timeliness,5,Positive,Correct,None,Hot,"Blazing fast. Food was fresh."
Cleanliness,3,Neutral,Correct,None,N/A,"It was clean enough. Some spots missed."
Environment,5,Positive,Correct,None,N/A,"They have a great play area for kids."
Food quality,2,Negative,Correct,None,Soggy,"The fries were soggy and cold."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me an extra hash brown. Happy accident."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the special request."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and helpful."
Timeliness,3,Neutral,Correct,None,Average,"Took a few minutes. Not bad."
Cleanliness,4,Positive,Correct,None,N/A,"The dining room was clean and organized."
Environment,3,Neutral,Correct,None,N/A,"It's a standard McDonald's. Nothing special."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast sandwich was hot and tasty."
Staff service,5,Positive,Correct,None,N/A,"The manager was exceptional. Great service."
Timeliness,4,Positive,Correct,None,Hot,"Quick and easy. Food was ready."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was sparkling clean."
Environment,2,Negative,Correct,None,N/A,"The AC was too cold. Uncomfortable."
Food quality,5,Positive,Correct,None,Fresh,"The McFlurry was perfectly mixed. Delicious."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered no tomatoes. Got tomatoes."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every item was correct."
Staff service,2,Negative,Correct,None,N/A,"Worker was dismissive and rude."
Timeliness,5,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and the floors were swept."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor patio."
Food quality,3,Neutral,Correct,None,Adequate,"The fries were okay. A bit salty."
Staff service,5,Positive,Correct,None,N/A,"The staff was fantastic. Very welcoming."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot."
Cleanliness,5,Positive,Correct,None,N/A,"The whole place was spotless. Very impressive."
Environment,5,Positive,Correct,None,N/A,"They have a beautiful mural. Very nice touch."
Food quality,4,Positive,Correct,None,Fresh,"The sausage burrito was hot and tasty."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered extra pickles. Got no pickles."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra sauce."
Staff service,4,Positive,Correct,None,N/A,"The cashier was patient and efficient."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was fine but they forgot the straw."
Cleanliness,4,Positive,Correct,None,N/A,"The restroom was clean and smelled fresh."
Environment,4,Positive,Correct,None,N/A,"They have a nice little fireplace. Cozy."
Food quality,5,Positive,Correct,None,Fresh,"The Quarter Pounder was perfect. Juicy and hot."
Staff service,3,Neutral,Correct,None,N/A,"Employee was fine. Not very friendly."
Timeliness,5,Positive,Correct,None,Hot,"Amazing speed. Food was fresh and hot."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest fast food restaurant around."
Environment,1,Negative,Correct,None,N/A,"The place was a mess. Dirty tables everywhere."
Food quality,2,Negative,Correct,None,Dry,"The chicken was dry and stringy."
Customization error,3,Neutral,Incorrect,None,N/A,"They forgot the extra cheese. Not worth the wait."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even included extra sauce."
Staff service,5,Positive,Correct,None,N/A,"The manager was fantastic. Very professional."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Great service."
Cleanliness,2,Negative,Correct,None,N/A,"The trash cans were overflowing."
Environment,5,Positive,Correct,None,N/A,"They have a great atmosphere. Modern and clean."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast burrito was hot and delicious."
Staff service,2,Negative,Correct,None,N/A,"Worker was on their phone ignoring customers."
Timeliness,3,Neutral,Correct,None,Average,"Standard wait time. No issues."
Cleanliness,4,Positive,Correct,None,N/A,"The dining area was clean and tidy."
Environment,3,Neutral,Correct,None,N/A,"It's an older store but it's clean."
Food quality,5,Positive,Correct,None,Fresh,"The hotcakes were fluffy and the syrup was warm."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me a large fry instead of medium. Nice!"
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra pickles."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and quick."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot and fresh."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was immaculate. Very clean."
Environment,4,Positive,Correct,None,N/A,"They have a nice little seating area with outlets."
Food quality,3,Neutral,Correct,None,Adequate,"The burger was okay. A bit messy."
Staff service,5,Positive,Correct,None,N/A,"The staff here is the best. Always friendly."
Timeliness,5,Positive,Correct,None,Hot,"Incredible speed. Food was fresh."
Cleanliness,3,Neutral,Correct,None,N/A,"It was clean enough. Some areas needed work."
Environment,5,Positive,Correct,None,N/A,"This is a gorgeous store. Modern and clean."
Food quality,4,Positive,Correct,None,Fresh,"The McDouble was hot and cheesy. Perfect."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain burger. Got one with ketchup."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every detail was correct."
Staff service,3,Neutral,Correct,None,N/A,"Employee was okay. Got the job done."
Timeliness,4,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and inviting."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor patio."
Food quality,5,Positive,Correct,None,Fresh,"The apple pie was hot and flaky. Delicious."
Staff service,5,Positive,Correct,None,N/A,"The staff was amazing. Very attentive."
Timeliness,1,Negative,Incorrect,Wrong drink,N/A,"Long wait and wrong drink. Awful."
Cleanliness,5,Positive,Correct,None,N/A,"The floor was so clean you could eat off it."
Environment,2,Negative,Correct,None,N/A,"The music was too loud and annoying."
Food quality,2,Negative,Correct,None,Soggy,"The fries were soggy and undercooked."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered no mustard. Got mustard."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. No issues."
Staff service,4,Positive,Correct,None,N/A,"The cashier was polite and helpful."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was okay but they gave me the wrong sauce."
Cleanliness,4,Positive,Correct,None,N/A,"The tables were clean and the floors were swept."
Environment,5,Positive,Correct,None,N/A,"They have a beautiful mural. Very nice."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast sandwich was hot and fresh."
Staff service,5,Positive,Correct,None,N/A,"The manager went above and beyond."
Timeliness,5,Positive,Correct,None,Hot,"Blazing fast. Food was fresh."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest McDonald's in town."
Environment,1,Negative,Correct,None,N/A,"The place was loud and chaotic."
Food quality,3,Neutral,Correct,None,Adequate,"The chicken nuggets were okay. A bit dry."
Customization error,3,Neutral,Incorrect,None,N/A,"They gave me a different sauce. It was fine."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even cut the sandwich."
Staff service,2,Negative,Correct,None,N/A,"Worker was short with me. Rude."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Good job."
Cleanliness,1,Negative,Correct,None,N/A,"There was a hair in my food. Gross."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor seating area."
Food quality,5,Positive,Correct,None,Fresh,"The McFlurry was mixed well. Delicious."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and helpful."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot."
Cleanliness,4,Positive,Correct,None,N/A,"The dining room was clean and organized."
Environment,5,Positive,Correct,None,N/A,"They have a great play area for kids."
Food quality,4,Positive,Correct,None,Fresh,"The sausage burrito was hot and cheesy."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me an extra cookie. Nice surprise!"
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra sauce."
Staff service,5,Positive,Correct,None,N/A,"The manager was exceptional. Great service."
Timeliness,3,Neutral,Correct,None,Average,"Took a few minutes. Not bad."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was spotless. Very clean."
Environment,3,Neutral,Correct,None,N/A,"It's a typical McDonald's. Nothing fancy."
Food quality,5,Positive,Correct,None,Fresh,"The Quarter Pounder was juicy and hot."
Staff service,3,Neutral,Correct,None,N/A,"Employee was fine. Not very talkative."
Timeliness,5,Positive,Correct,None,Hot,"Quick and easy. Food was ready."
Cleanliness,4,Positive,Correct,None,N/A,"The restroom was clean and stocked."
Environment,4,Positive,Correct,None,N/A,"They have a nice little fireplace. Cozy vibe."
Food quality,2,Negative,Correct,None,Stale,"The cookie was hard and stale."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain cheeseburger. Got one with everything."
Order accuracy,5,Positive,Correct,None,N/A,"They nailed it. Every item was correct."
Staff service,4,Positive,Correct,None,N/A,"The cashier was patient and efficient."
Timeliness,4,Positive,Correct,None,Hot,"Fast service. Food was hot."
Cleanliness,3,Neutral,Correct,None,N/A,"It was clean enough. Some spots missed."
Environment,5,Positive,Correct,None,N/A,"They have a great atmosphere. Very inviting."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast burrito was hot and delicious."
Staff service,5,Positive,Correct,None,N/A,"The staff was fantastic. Very welcoming."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot and fresh."
Cleanliness,5,Positive,Correct,None,N/A,"The whole place was sparkling clean."
Environment,4,Positive,Correct,None,N/A,"They have a nice little seating area with outlets."
Food quality,3,Neutral,Correct,None,Adequate,"The burger was fine. A bit dry."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered extra cheese. Got no cheese."
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the special request."
Staff service,2,Negative,Correct,None,N/A,"Worker was dismissive and rude."
Timeliness,5,Positive,Correct,None,Hot,"Amazing speed. Food was fresh and hot."
Cleanliness,4,Positive,Correct,None,N/A,"The lobby was clean and the floors were swept."
Environment,5,Positive,Correct,None,N/A,"This is a beautiful store. Well designed."
Food quality,5,Positive,Correct,None,Fresh,"The hot fudge sundae was amazing."
Staff service,5,Positive,Correct,None,N/A,"The staff here is the best. Always friendly."
Timeliness,3,Neutral,Incorrect,None,Average,"Wait was fine but they gave me the wrong size drink."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest fast food restaurant around."
Environment,2,Negative,Correct,None,N/A,"The AC was too cold. Uncomfortable."
Food quality,4,Positive,Correct,None,Fresh,"The McDouble was hot and cheesy."
Customization error,3,Neutral,Incorrect,None,N/A,"They forgot the lettuce. Not a big deal."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. They even included extra sauce."
Staff service,4,Positive,Correct,None,N/A,"The employee was friendly and quick."
Timeliness,4,Positive,Correct,None,Hot,"Fast and efficient. Good team."
Cleanliness,1,Negative,Correct,None,N/A,"The bathroom was disgusting. No soap."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor patio."
Food quality,4,Positive,Correct,None,Fresh,"The breakfast sandwich was hot and tasty."
Staff service,3,Neutral,Correct,None,N/A,"Employee was okay. Did the job."
Timeliness,3,Neutral,Correct,None,Average,"Standard wait time. No issues."
Cleanliness,4,Positive,Correct,None,N/A,"The tables were clean and the floors were swept."
Environment,5,Positive,Correct,None,N/A,"They have a beautiful mural. Very nice touch."
Food quality,2,Negative,Correct,None,Soggy,"The fries were soggy and cold."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me a large drink by mistake. Free upgrade!"
Order accuracy,4,Positive,Correct,None,N/A,"They got the order right. Even the extra pickles."
Staff service,5,Positive,Correct,None,N/A,"The manager was fantastic. Very professional."
Timeliness,5,Positive,Correct,None,Hot,"Blazing fast. Food was fresh."
Cleanliness,5,Positive,Correct,None,N/A,"The restaurant was immaculate. Very clean."
Environment,3,Neutral,Correct,None,N/A,"It's an older store but it's clean."
Food quality,5,Positive,Correct,None,Fresh,"The apple pie was perfect. Hot and flaky."
Staff service,2,Negative,Correct,None,N/A,"Worker was rude and short with me."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm. Not hot."
Cleanliness,4,Positive,Correct,None,N/A,"The dining area was clean and tidy."
Environment,4,Positive,Correct,None,N/A,"They have a nice little outdoor seating area."
Food quality,3,Neutral,Correct,None,Adequate,"The chicken sandwich was okay. Nothing special."
